对话编号,用户,小影,对话主题,对话轮数,上传日期,状态
"396","用户","机器人扮演者","它的显存是多少？","6","2016-06-21 18:04:14","未审核"
"395","用户","机器人扮演者","电脑","7","2016-06-21 18:04:14","未审核"
"394","用户","机器人扮演者","跟团游","15","2016-06-21 18:04:13","未审核"
"393","用户","机器人扮演者","火车出行","16","2016-06-21 18:04:13","未审核"
"392","用户","机器人扮演者","游戏","31","2016-06-21 16:40:25","未审核"
"391","用户","机器人扮演者","饮食","28","2016-06-21 16:40:24","未审核"
"390","用户","机器人扮演者","电子产品","30","2016-06-21 16:40:24","未审核"
"389","用户","机器人扮演者","电脑","29","2016-06-21 16:40:24","未审核"
"388","用户","机器人扮演者","跟团游","30","2016-06-21 16:40:23","未审核"
"387","用户","机器人扮演者","火车出行","31","2016-06-21 16:40:23","未审核"
"386","用户","机器人扮演者","游戏","31","2016-06-21 16:39:01","未审核"
"385","用户","机器人扮演者","饮食","28","2016-06-21 16:39:01","未审核"
"384","用户","机器人扮演者","电子产品","30","2016-06-21 16:39:00","未审核"
"383","用户","机器人扮演者","电脑","29","2016-06-21 16:39:00","未审核"
"382","用户","机器人扮演者","跟团游","30","2016-06-21 16:39:00","未审核"
"381","用户","机器人扮演者","火车出行","31","2016-06-21 16:38:59","未审核"
"380","用户","机器人扮演者","游戏","31","2016-06-21 16:35:28","未审核"
"379","用户","机器人扮演者","饮食","28","2016-06-21 16:35:28","未审核"
"378","用户","机器人扮演者","电子产品","30","2016-06-21 16:35:28","未审核"
"377","用户","机器人扮演者","电脑","29","2016-06-21 16:35:28","未审核"
"376","用户","机器人扮演者","跟团游","30","2016-06-21 16:35:27","未审核"
"375","用户","机器人扮演者","火车出行","31","2016-06-21 16:35:27","未审核"
"374","用户","机器人扮演者","多练习，总有一天你也会像我一样。","32","2016-06-21 16:25:44","未审核"
"372","用户","机器人扮演者","饮食","28","2016-06-21 16:25:44","未审核"
"371","用户","机器人扮演者","电子产品","30","2016-06-21 16:25:43","未审核"
"370","用户","机器人扮演者","电脑","30","2016-06-21 16:25:43","未审核"
"369","用户","机器人扮演者","跟团游","30","2016-06-21 16:25:43","未审核"
"368","用户","机器人扮演者","哈哈。","30","2016-06-21 16:25:42","未审核"
"366","用户","机器人扮演者","多练习，总有一天你也会像我一样。","32","2016-06-21 16:16:51","未审核海阔"
"364","用户","机器人扮演者","饮食","28","2016-06-21 16:16:51","未审核"
"363","用户","机器人扮演者","电子产品","30","2016-06-21 16:16:51","未审核"
"362","用户","机器人扮演者","电脑","30","2016-06-21 16:16:50","未审核"
"361","用户","机器人扮演者","跟团游","30","2016-06-21 16:16:50","未审核"
"360","用户","机器人扮演者","哈哈。","30","2016-06-21 16:16:50","未审核"
"358","用户","机器人扮演者","多练习，总有一天你也会像我一样。","32","2016-06-21 16:15:36","未审核"
"356","用户","机器人扮演者","饮食","28","2016-06-21 16:15:35","未审核"
"355","用户","机器人扮演者","电子产品","30","2016-06-21 16:15:35","未审核"
"354","用户","机器人扮演者","电脑","30","2016-06-21 16:15:35","未审核"
"353","用户","机器人扮演者","跟团游","30","2016-06-21 16:15:34","未审核"
"352","用户","机器人扮演者","哈哈。","30","2016-06-21 16:15:34","未审核"
"350","用户","机器人扮演者","爱情","38","2016-06-21 16:04:57","未审核"
"349","用户","机器人扮演者","旅游","82","2016-06-21 16:04:57","未审核"
"348","用户","机器人扮演者","文人","42","2016-06-21 16:04:56","未审核"
"347","用户","机器人扮演者","网上购物","42","2016-06-21 16:04:56","未审核"
"346","用户","机器人扮演者","运动","40","2016-06-21 16:04:55","未审核"
"345","用户","机器人扮演者","购物","40","2016-06-21 16:04:55","未审核"
"344","用户","机器人扮演者","明星","126","2016-06-21 16:04:54","未审核"
"343","用户","机器人扮演者","运动","40","2016-06-21 16:04:53","未审核"
"342","用户","机器人扮演者","音乐","38","2016-06-21 16:04:52","未审核"
"341","用户","机器人扮演者","饮食","60","2016-06-21 16:04:52","未审核"
"340","用户","机器人扮演者","动物","56","2016-06-21 16:04:51","未审核"
"339","用户","机器人扮演者","明星","40","2016-06-21 16:04:51","未审核"
"338","用户","机器人扮演者","游戏","56","2016-06-21 16:04:50","未审核"
"337","用户","机器人扮演者","爱情","38","2016-06-21 16:03:11","未审核"
"336","用户","机器人扮演者","旅游","82","2016-06-21 16:03:10","未审核"
"335","用户","机器人扮演者","文人","42","2016-06-21 16:03:09","未审核"
"334","用户","机器人扮演者","网上购物","42","2016-06-21 16:03:09","未审核"
"333","用户","机器人扮演者","运动","40","2016-06-21 16:03:09","未审核"
"332","用户","机器人扮演者","购物","40","2016-06-21 16:03:08","未审核"
"331","用户","机器人扮演者","明星","126","2016-06-21 16:03:08","未审核"
"330","用户","机器人扮演者","运动","40","2016-06-21 16:03:07","未审核"
"329","用户","机器人扮演者","音乐","38","2016-06-21 16:03:06","未审核"
"328","用户","机器人扮演者","饮食","60","2016-06-21 16:03:06","未审核"
"327","用户","机器人扮演者","动物","56","2016-06-21 16:03:05","未审核"
"326","用户","机器人扮演者","明星","40","2016-06-21 16:03:04","未审核"
"325","用户","机器人扮演者","游戏","56","2016-06-21 16:03:04","未审核"
"324","用户","机器人扮演者","爱情","38","2016-06-21 16:02:13","未审核"
"323","用户","机器人扮演者","旅游","82","2016-06-21 16:02:13","未审核"
"322","用户","机器人扮演者","文人","42","2016-06-21 16:02:12","未审核"
"321","用户","机器人扮演者","网上购物","42","2016-06-21 16:02:12","未审核"
"320","用户","机器人扮演者","运动","40","2016-06-21 16:02:11","未审核"
"319","用户","机器人扮演者","购物","40","2016-06-21 16:02:11","未审核"
"318","用户","机器人扮演者","明星","126","2016-06-21 16:02:10","未审核"
"317","用户","机器人扮演者","运动","40","2016-06-21 16:02:09","未审核"
"316","用户","机器人扮演者","音乐","38","2016-06-21 16:02:09","未审核"
"315","用户","机器人扮演者","饮食","60","2016-06-21 16:02:08","未审核"
"314","用户","机器人扮演者","动物","56","2016-06-21 16:02:08","未审核"
"313","用户","机器人扮演者","明星","40","2016-06-21 16:02:07","未审核"
"312","用户","机器人扮演者","游戏","56","2016-06-21 16:02:07","未审核"
"311","用户","机器人扮演者","爱情","38","2016-06-21 16:00:10","未审核"
"310","用户","机器人扮演者","旅游","82","2016-06-21 16:00:10","未审核"
"309","用户","机器人扮演者","文人","42","2016-06-21 16:00:09","未审核"
